time,timestamp,sequence_counter,packet_size
23150425809,start at 2026-01-29_11-36-01,7038012.00,1
23150428398,epoch[1769682961.8953366],7038013.00,1
23153339995,start rest at 2026-01-29_11-37-30,7038014.00,1
23157275792,stop rest at 2026-01-29_11-39-30,7038015.00,1
23160377737,start 6bpm at 2026-01-29_11-41-05,7038016.00,1
23164586587,stop 6bpm at 2026-01-29_11-43-13,7038017.00,1
23168891308,start handgrip at 2026-01-29_11-45-25,7038018.00,1
23173757251,stop handgrip at 2026-01-29_11-47-53,7038019.00,1
