time,ecg2,sequence_counter,packet_size
NaN,-2.373000000e+03,7040339.27,
NaN,-2.289000000e+03,7040339.28,
NaN,-2.250000000e+03,7040339.29,
23150421273,-2.279000000e+03,7040339.30,
NaN,-2.184000000e+03,7040340.00,31
NaN,-2.235000000e+03,7040340.01,
NaN,-2.153000000e+03,7040340.02,
NaN,-2.108000000e+03,7040340.03,
NaN,-2.142000000e+03,7040340.04,
NaN,-1.994000000e+03,7040340.05,
NaN,-2.039000000e+03,7040340.06,
NaN,-2.015000000e+03,7040340.07,
NaN,-1.932000000e+03,7040340.08,
NaN,-1.990000000e+03,7040340.09,
NaN,-1.861000000e+03,7040340.10,
NaN,-1.848000000e+03,7040340.11,
NaN,-1.825000000e+03,7040340.12,
NaN,-1.725000000e+03,7040340.13,
NaN,-1.788000000e+03,7040340.14,
NaN,-1.669000000e+03,7040340.15,
NaN,-1.621000000e+03,7040340.16,
NaN,-1.635000000e+03,7040340.17,
NaN,-1.500000000e+03,7040340.18,
NaN,-1.385000000e+03,7040340.19,
NaN,-1.131000000e+03,7040340.20,
NaN,-1.050000000e+03,7040340.21,
NaN,-9.400000000e+02,7040340.22,
NaN,-6.060000000e+02,7040340.23,
NaN,-6.710000000e+02,7040340.24,
NaN,-7.410000000e+02,7040340.25,
NaN,-8.090000000e+02,7040340.26,
NaN,-1.083000000e+03,7040340.27,
NaN,-1.167000000e+03,7040340.28,
NaN,-1.289000000e+03,7040340.29,
23150429209,-1.302000000e+03,7040340.30,
NaN,-1.237000000e+03,7040341.00,31
NaN,-1.311000000e+03,7040341.01,
NaN,-1.239000000e+03,7040341.02,
NaN,-1.231000000e+03,7040341.03,
NaN,-1.210000000e+03,7040341.04,
NaN,-1.085000000e+03,7040341.05,
NaN,-1.090000000e+03,7040341.06,
NaN,-1.211000000e+03,7040341.07,
NaN,-9.580000000e+02,7040341.08,
NaN,3.700000000e+01,7040341.09,
NaN,1.604000000e+03,7040341.10,
NaN,3.022000000e+03,7040341.11,
NaN,1.802000000e+03,7040341.12,
NaN,-8.870000000e+02,7040341.13,
NaN,-1.257000000e+03,7040341.14,
NaN,-8.430000000e+02,7040341.15,
NaN,-1.036000000e+03,7040341.16,
NaN,-8.860000000e+02,7040341.17,
NaN,-8.510000000e+02,7040341.18,
NaN,-8.950000000e+02,7040341.19,
NaN,-7.640000000e+02,7040341.20,
NaN,-8.060000000e+02,7040341.21,
NaN,-7.510000000e+02,7040341.22,
NaN,-6.190000000e+02,7040341.23,
NaN,-6.190000000e+02,7040341.24,
NaN,-5.030000000e+02,7040341.25,
NaN,-4.690000000e+02,7040341.26,
NaN,-4.240000000e+02,7040341.27,
NaN,-3.110000000e+02,7040341.28,
NaN,-3.210000000e+02,7040341.29,
23150437145,-1.880000000e+02,7040341.30,
NaN,-1.340000000e+02,7040342.00,31
NaN,-1.200000000e+02,7040342.01,
NaN,2.300000000e+01,7040342.02,
NaN,2.700000000e+01,7040342.03,
NaN,1.330000000e+02,7040342.04,
NaN,2.150000000e+02,7040342.05,
NaN,2.360000000e+02,7040342.06,
NaN,4.150000000e+02,7040342.07,
NaN,4.330000000e+02,7040342.08,
NaN,5.100000000e+02,7040342.09,
NaN,6.170000000e+02,7040342.10,
NaN,6.310000000e+02,7040342.11,
NaN,7.750000000e+02,7040342.12,
NaN,7.870000000e+02,7040342.13,
NaN,8.030000000e+02,7040342.14,
NaN,8.110000000e+02,7040342.15,
NaN,6.230000000e+02,7040342.16,
NaN,5.160000000e+02,7040342.17,
NaN,2.690000000e+02,7040342.18,
NaN,3.500000000e+01,7040342.19,
NaN,-4.900000000e+01,7040342.20,
NaN,-2.320000000e+02,7040342.21,
NaN,-2.520000000e+02,7040342.22,
NaN,-3.000000000e+02,7040342.23,
NaN,-3.380000000e+02,7040342.24,
NaN,-2.380000000e+02,7040342.25,
NaN,-3.260000000e+02,7040342.26,
NaN,-2.770000000e+02,7040342.27,
NaN,-2.040000000e+02,7040342.28,
NaN,-2.790000000e+02,7040342.29,
23150445081,-2.090000000e+02,7040342.30,
NaN,-2.330000000e+02,7040343.00,31
NaN,-2.170000000e+02,7040343.01,
NaN,-1.760000000e+02,7040343.02,
NaN,-2.400000000e+02,7040343.03,
NaN,-1.540000000e+02,7040343.04,
NaN,-1.950000000e+02,7040343.05,
NaN,-2.200000000e+02,7040343.06,
NaN,-1.590000000e+02,7040343.07,
NaN,-2.560000000e+02,7040343.08,
NaN,-2.040000000e+02,7040343.09,
NaN,-2.120000000e+02,7040343.10,
NaN,-2.450000000e+02,7040343.11,
NaN,-1.550000000e+02,7040343.12,
NaN,-2.320000000e+02,7040343.13,
NaN,-1.980000000e+02,7040343.14,
NaN,-1.710000000e+02,7040343.15,
NaN,-2.070000000e+02,7040343.16,
