time,cpu_stats.task,cpu_stats.state,cpu_stats.current_priority,cpu_stats.base_priority,cpu_stats.cpu_usage,cpu_stats.runtime_counter,cpu_stats.stack_high_water_mark,sequence_counter,packet_size
23160455259,Tmr Svc,0.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,2.120000000e+04,1.420000000e+03,7038080.00,1
23160455266,IDLE,1.000000000e+00,0.000000000e+00,0.000000000e+00,9.400000000e+01,9.315067700e+07,1.960000000e+02,7038081.00,1
23160455268,StorageFs,2.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,3.676700000e+04,3.212000000e+03,7038082.00,1
23160455270,CH_NOK,3.000000000e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,1.000000000e+00,2.760000000e+02,7038083.00,1
23160455272,SW_FSM,3.000000000e+00,3.000000000e+00,3.000000000e+00,0.000000000e+00,0.000000000e+00,2.520000000e+02,7038084.00,1
23160455274,I2C_SENSOR,3.000000000e+00,2.000000000e+00,2.000000000e+00,0.000000000e+00,1.000000000e+00,2.036000000e+03,7038085.00,1
23160455276,UI,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,4.200000000e+01,1.740000000e+03,7038086.00,1
23160455278,AD_IRQ_SNC,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,8.000000000e+00,8.400000000e+01,7038087.00,1
23160455280,AD_SNC,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.480000000e+02,1.288000000e+03,7038088.00,1
23160455282,BattPushBut,3.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,1.000000000e+00,2.760000000e+02,7038089.00,1
23160455284,FLASH,2.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,4.550000000e+02,1.316000000e+03,7038090.00,1
23160455286,USER_MGR,2.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,8.960000000e+02,9.320000000e+02,7038091.00,1
23160455288,SPI_SENSOR,3.000000000e+00,2.000000000e+00,2.000000000e+00,1.000000000e+00,1.741511000e+06,1.384000000e+03,7038092.00,1
23160455290,bleM,3.000000000e+00,2.000000000e+00,2.000000000e+00,0.000000000e+00,3.581500000e+05,6.080000000e+02,7038093.00,1
23160455291,BLE,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,7.126480000e+05,1.904000000e+03,7038094.00,1
23160455293,WORKER,3.000000000e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,8.640590000e+05,8.680000000e+02,7038095.00,1
23160455295,SOCF_CAL,3.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.601500000e+04,7.560000000e+02,7038096.00,1
23160455297,bleA,2.000000000e+00,3.000000000e+00,3.000000000e+00,1.000000000e+00,1.371623000e+06,6.160000000e+02,7038097.00,1
23160455299,VBUS,3.000000000e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,1.000000000e+00,1.156000000e+03,7038098.00,1
23160455301,CH_OK,2.000000000e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,2.680000000e+02,7038099.00,1
