time,accel.z,sequence_counter,packet_size
NaN,3.970000000e+03,7042694.01,
NaN,4.104000000e+03,7042694.02,
NaN,4.010000000e+03,7042694.03,
NaN,3.997000000e+03,7042694.04,
NaN,4.087000000e+03,7042694.05,
NaN,4.189000000e+03,7042694.06,
NaN,4.138000000e+03,7042694.07,
NaN,4.142000000e+03,7042694.08,
NaN,4.075000000e+03,7042694.09,
NaN,4.072000000e+03,7042694.10,
23150444781,4.095000000e+03,7042694.11,
NaN,4.111000000e+03,7042695.00,12
NaN,4.184000000e+03,7042695.01,
NaN,4.232000000e+03,7042695.02,
NaN,4.218000000e+03,7042695.03,
NaN,4.259000000e+03,7042695.04,
NaN,4.255000000e+03,7042695.05,
NaN,4.216000000e+03,7042695.06,
NaN,4.203000000e+03,7042695.07,
NaN,4.201000000e+03,7042695.08,
NaN,4.189000000e+03,7042695.09,
NaN,4.199000000e+03,7042695.10,
23150448738,4.210000000e+03,7042695.11,
NaN,4.225000000e+03,7042696.00,12
NaN,4.234000000e+03,7042696.01,
NaN,4.221000000e+03,7042696.02,
NaN,4.142000000e+03,7042696.03,
NaN,4.109000000e+03,7042696.04,
NaN,4.074000000e+03,7042696.05,
NaN,4.066000000e+03,7042696.06,
NaN,4.078000000e+03,7042696.07,
NaN,4.090000000e+03,7042696.08,
NaN,4.053000000e+03,7042696.09,
NaN,4.088000000e+03,7042696.10,
23150452696,4.090000000e+03,7042696.11,
NaN,4.095000000e+03,7042697.00,12
NaN,4.101000000e+03,7042697.01,
NaN,4.170000000e+03,7042697.02,
NaN,4.237000000e+03,7042697.03,
NaN,4.030000000e+03,7042697.04,
NaN,3.868000000e+03,7042697.05,
NaN,3.981000000e+03,7042697.06,
NaN,3.955000000e+03,7042697.07,
NaN,4.028000000e+03,7042697.08,
NaN,4.284000000e+03,7042697.09,
NaN,4.346000000e+03,7042697.10,
23150456653,4.341000000e+03,7042697.11,
NaN,4.161000000e+03,7042698.00,12
NaN,3.971000000e+03,7042698.01,
NaN,3.977000000e+03,7042698.02,
NaN,4.001000000e+03,7042698.03,
NaN,4.085000000e+03,7042698.04,
NaN,4.124000000e+03,7042698.05,
NaN,4.206000000e+03,7042698.06,
NaN,4.154000000e+03,7042698.07,
NaN,4.092000000e+03,7042698.08,
NaN,4.077000000e+03,7042698.09,
NaN,4.049000000e+03,7042698.10,
23150460610,4.064000000e+03,7042698.11,
NaN,4.052000000e+03,7042699.00,12
NaN,4.066000000e+03,7042699.01,
NaN,4.013000000e+03,7042699.02,
NaN,4.053000000e+03,7042699.03,
NaN,4.128000000e+03,7042699.04,
NaN,4.178000000e+03,7042699.05,
NaN,4.237000000e+03,7042699.06,
NaN,4.163000000e+03,7042699.07,
NaN,4.123000000e+03,7042699.08,
NaN,4.311000000e+03,7042699.09,
NaN,4.344000000e+03,7042699.10,
23150464568,4.211000000e+03,7042699.11,
NaN,4.134000000e+03,7042700.00,12
NaN,4.256000000e+03,7042700.01,
NaN,4.340000000e+03,7042700.02,
NaN,4.220000000e+03,7042700.03,
NaN,4.123000000e+03,7042700.04,
NaN,4.194000000e+03,7042700.05,
NaN,4.260000000e+03,7042700.06,
NaN,4.241000000e+03,7042700.07,
NaN,4.145000000e+03,7042700.08,
NaN,4.068000000e+03,7042700.09,
NaN,4.140000000e+03,7042700.10,
23150468525,4.180000000e+03,7042700.11,
NaN,4.167000000e+03,7042701.00,12
NaN,4.114000000e+03,7042701.01,
NaN,4.067000000e+03,7042701.02,
NaN,4.120000000e+03,7042701.03,
NaN,4.155000000e+03,7042701.04,
NaN,4.150000000e+03,7042701.05,
NaN,4.147000000e+03,7042701.06,
NaN,4.138000000e+03,7042701.07,
NaN,4.140000000e+03,7042701.08,
NaN,4.123000000e+03,7042701.09,
NaN,4.146000000e+03,7042701.10,
23150472483,4.141000000e+03,7042701.11,
NaN,4.070000000e+03,7042702.00,12
NaN,3.941000000e+03,7042702.01,
NaN,4.027000000e+03,7042702.02,
NaN,4.002000000e+03,7042702.03,
NaN,3.857000000e+03,7042702.04,
NaN,3.829000000e+03,7042702.05,
NaN,3.812000000e+03,7042702.06,
NaN,3.921000000e+03,7042702.07,
NaN,4.039000000e+03,7042702.08,
NaN,4.000000000e+03,7042702.09,
NaN,3.940000000e+03,7042702.10,
23150476440,3.982000000e+03,7042702.11,
NaN,4.071000000e+03,7042703.00,12
NaN,4.015000000e+03,7042703.01,
NaN,3.769000000e+03,7042703.02,
NaN,3.927000000e+03,7042703.03,
NaN,3.970000000e+03,7042703.04,
NaN,3.756000000e+03,7042703.05,
NaN,3.859000000e+03,7042703.06,
NaN,4.206000000e+03,7042703.07,
NaN,4.221000000e+03,7042703.08,
NaN,4.035000000e+03,7042703.09,
NaN,3.923000000e+03,7042703.10,
23150480399,3.915000000e+03,7042703.11,
NaN,4.010000000e+03,7042704.00,12
NaN,4.000000000e+03,7042704.01,
NaN,3.987000000e+03,7042704.02,
NaN,4.052000000e+03,7042704.03,
NaN,4.082000000e+03,7042704.04,
NaN,4.033000000e+03,7042704.05,
NaN,3.981000000e+03,7042704.06,
NaN,3.951000000e+03,7042704.07,
NaN,3.982000000e+03,7042704.08,
NaN,3.930000000e+03,7042704.09,
NaN,3.922000000e+03,7042704.10,
23150484356,3.912000000e+03,7042704.11,
NaN,3.941000000e+03,7042705.00,12
NaN,3.950000000e+03,7042705.01,
