time,ecg2,sequence_counter,packet_size
NaN,-7.240000000e+02,7014342.00,31
NaN,-8.950000000e+02,7014342.01,
NaN,-7.520000000e+02,7014342.02,
NaN,2.350000000e+02,7014342.03,
NaN,1.765000000e+03,7014342.04,
NaN,3.521000000e+03,7014342.05,
NaN,3.234000000e+03,7014342.06,
NaN,3.120000000e+02,7014342.07,
NaN,-1.178000000e+03,7014342.08,
NaN,-6.250000000e+02,7014342.09,
NaN,-4.140000000e+02,7014342.10,
NaN,-6.730000000e+02,7014342.11,
NaN,-7.980000000e+02,7014342.12,
NaN,-6.500000000e+02,7014342.13,
NaN,-4.940000000e+02,7014342.14,
NaN,-4.560000000e+02,7014342.15,
NaN,-2.580000000e+02,7014342.16,
NaN,-5.500000000e+01,7014342.17,
NaN,-1.370000000e+02,7014342.18,
NaN,-1.580000000e+02,7014342.19,
NaN,6.700000000e+01,7014342.20,
NaN,2.720000000e+02,7014342.21,
NaN,2.480000000e+02,7014342.22,
NaN,6.900000000e+01,7014342.23,
NaN,9.000000000e+00,7014342.24,
NaN,1.580000000e+02,7014342.25,
NaN,2.420000000e+02,7014342.26,
NaN,1.720000000e+02,7014342.27,
NaN,2.390000000e+02,7014342.28,
NaN,3.780000000e+02,7014342.29,
22999169277,3.550000000e+02,7014342.30,
NaN,2.850000000e+02,7014343.00,31
NaN,2.680000000e+02,7014343.01,
NaN,2.020000000e+02,7014343.02,
NaN,1.620000000e+02,7014343.03,
NaN,2.060000000e+02,7014343.04,
NaN,1.050000000e+02,7014343.05,
NaN,3.100000000e+01,7014343.06,
NaN,1.540000000e+02,7014343.07,
NaN,1.830000000e+02,7014343.08,
NaN,1.080000000e+02,7014343.09,
NaN,1.260000000e+02,7014343.10,
NaN,2.070000000e+02,7014343.11,
NaN,8.700000000e+01,7014343.12,
NaN,-3.200000000e+01,7014343.13,
NaN,1.490000000e+02,7014343.14,
NaN,1.700000000e+02,7014343.15,
NaN,-2.700000000e+01,7014343.16,
NaN,5.200000000e+01,7014343.17,
NaN,2.400000000e+02,7014343.18,
NaN,1.240000000e+02,7014343.19,
NaN,4.000000000e+01,7014343.20,
NaN,2.090000000e+02,7014343.21,
NaN,2.180000000e+02,7014343.22,
NaN,1.320000000e+02,7014343.23,
NaN,1.670000000e+02,7014343.24,
NaN,1.220000000e+02,7014343.25,
NaN,7.400000000e+01,7014343.26,
NaN,1.050000000e+02,7014343.27,
NaN,7.800000000e+01,7014343.28,
NaN,9.000000000e+00,7014343.29,
22999177213,3.700000000e+01,7014343.30,
NaN,8.300000000e+01,7014344.00,31
NaN,-7.500000000e+01,7014344.01,
NaN,-8.900000000e+01,7014344.02,
NaN,6.600000000e+01,7014344.03,
NaN,-1.150000000e+02,7014344.04,
NaN,-3.140000000e+02,7014344.05,
NaN,-1.970000000e+02,7014344.06,
NaN,-1.150000000e+02,7014344.07,
NaN,-1.040000000e+02,7014344.08,
NaN,1.070000000e+02,7014344.09,
NaN,2.140000000e+02,7014344.10,
NaN,2.420000000e+02,7014344.11,
NaN,5.050000000e+02,7014344.12,
NaN,5.780000000e+02,7014344.13,
NaN,4.500000000e+02,7014344.14,
NaN,4.260000000e+02,7014344.15,
NaN,1.890000000e+02,7014344.16,
NaN,-1.540000000e+02,7014344.17,
NaN,-2.910000000e+02,7014344.18,
NaN,-3.800000000e+02,7014344.19,
NaN,-3.890000000e+02,7014344.20,
NaN,-4.090000000e+02,7014344.21,
NaN,-4.830000000e+02,7014344.22,
NaN,-4.650000000e+02,7014344.23,
NaN,-4.750000000e+02,7014344.24,
NaN,-4.230000000e+02,7014344.25,
NaN,-6.070000000e+02,7014344.26,
NaN,-4.710000000e+02,7014344.27,
NaN,6.540000000e+02,7014344.28,
NaN,2.131000000e+03,7014344.29,
22999185149,3.901000000e+03,7014344.30,
NaN,3.498000000e+03,7014345.00,31
NaN,3.170000000e+02,7014345.01,
NaN,-1.076000000e+03,7014345.02,
NaN,-6.710000000e+02,7014345.03,
NaN,-6.590000000e+02,7014345.04,
NaN,-6.010000000e+02,7014345.05,
NaN,-7.080000000e+02,7014345.06,
NaN,-8.290000000e+02,7014345.07,
NaN,-6.870000000e+02,7014345.08,
NaN,-6.130000000e+02,7014345.09,
NaN,-5.740000000e+02,7014345.10,
NaN,-5.220000000e+02,7014345.11,
NaN,-4.890000000e+02,7014345.12,
NaN,-4.070000000e+02,7014345.13,
NaN,-2.970000000e+02,7014345.14,
NaN,-2.420000000e+02,7014345.15,
NaN,-1.570000000e+02,7014345.16,
NaN,-1.730000000e+02,7014345.17,
NaN,-3.130000000e+02,7014345.18,
NaN,-2.280000000e+02,7014345.19,
NaN,-5.800000000e+01,7014345.20,
NaN,-1.000000000e+00,7014345.21,
NaN,1.150000000e+02,7014345.22,
NaN,3.060000000e+02,7014345.23,
NaN,3.670000000e+02,7014345.24,
NaN,3.760000000e+02,7014345.25,
NaN,5.350000000e+02,7014345.26,
NaN,4.790000000e+02,7014345.27,
NaN,2.770000000e+02,7014345.28,
NaN,3.440000000e+02,7014345.29,
22999193085,3.490000000e+02,7014345.30,
NaN,2.670000000e+02,7014346.00,31
NaN,2.930000000e+02,7014346.01,
NaN,3.140000000e+02,7014346.02,
NaN,3.280000000e+02,7014346.03,
NaN,3.530000000e+02,7014346.04,
NaN,3.370000000e+02,7014346.05,
NaN,2.330000000e+02,7014346.06,
NaN,2.830000000e+02,7014346.07,
NaN,4.240000000e+02,7014346.08,
NaN,2.120000000e+02,7014346.09,
NaN,1.320000000e+02,7014346.10,
NaN,3.430000000e+02,7014346.11,
NaN,2.580000000e+02,7014346.12,
NaN,1.690000000e+02,7014346.13,
NaN,2.200000000e+02,7014346.14,
NaN,1.660000000e+02,7014346.15,
NaN,1.540000000e+02,7014346.16,
NaN,2.120000000e+02,7014346.17,
NaN,1.950000000e+02,7014346.18,
NaN,2.600000000e+01,7014346.19,
NaN,-8.300000000e+01,7014346.20,
NaN,-9.000000000e+00,7014346.21,
NaN,-6.400000000e+01,7014346.22,
NaN,-1.470000000e+02,7014346.23,
NaN,-6.400000000e+01,7014346.24,
NaN,-1.230000000e+02,7014346.25,
NaN,-1.800000000e+02,7014346.26,
NaN,-8.100000000e+01,7014346.27,
NaN,-1.370000000e+02,7014346.28,
