time,soc.soc,soc.vbat,soc.temp,sequence_counter,packet_size
23001095753,9.650000000e+02,4.135000000e+03,2.500000000e+01,7014001.00,1
23003061832,9.650000000e+02,4.136000000e+03,2.500000000e+01,7014002.00,1
23005027912,9.640000000e+02,4.135000000e+03,2.500000000e+01,7014003.00,1
23006993992,9.640000000e+02,4.137000000e+03,2.500000000e+01,7014004.00,1
23008960072,9.630000000e+02,4.134000000e+03,2.500000000e+01,7014005.00,1
23010926150,9.630000000e+02,4.103000000e+03,2.500000000e+01,7014006.00,1
23012892263,9.620000000e+02,4.120000000e+03,2.500000000e+01,7014007.00,1
23014858310,9.620000000e+02,4.105000000e+03,2.500000000e+01,7014008.00,1
