time,soc.soc,soc.vbat,soc.temp,sequence_counter,packet_size
23113137764,9.370000000e+02,4.064000000e+03,2.500000000e+01,7038000.00,1
23115103844,9.360000000e+02,4.109000000e+03,2.500000000e+01,7038001.00,1
23117069922,9.360000000e+02,4.111000000e+03,2.500000000e+01,7038002.00,1
23119036004,9.360000000e+02,4.112000000e+03,2.500000000e+01,7038003.00,1
23121002083,9.350000000e+02,4.111000000e+03,2.500000000e+01,7038004.00,1
23122968161,9.350000000e+02,4.113000000e+03,2.500000000e+01,7038005.00,1
23124934244,9.350000000e+02,4.108000000e+03,2.500000000e+01,7038006.00,1
23126900350,9.340000000e+02,4.105000000e+03,2.500000000e+01,7038007.00,1
23128866458,9.340000000e+02,4.107000000e+03,2.500000000e+01,7038008.00,1
