time,ppg.ir,sequence_counter,packet_size
NaN,2.296636000e+06,7038000.00,12
NaN,2.484426000e+06,7038000.01,
NaN,2.483563000e+06,7038000.02,
NaN,2.482989000e+06,7038000.03,
NaN,2.482529000e+06,7038000.04,
NaN,2.482132000e+06,7038000.05,
NaN,2.481767000e+06,7038000.06,
NaN,2.481422000e+06,7038000.07,
NaN,2.481098000e+06,7038000.08,
NaN,2.480837000e+06,7038000.09,
NaN,2.480522000e+06,7038000.10,
23111164086,2.480305000e+06,7038000.11,
NaN,2.480164000e+06,7038001.00,12
NaN,2.479910000e+06,7038001.01,
NaN,2.479762000e+06,7038001.02,
NaN,2.479648000e+06,7038001.03,
NaN,2.479429000e+06,7038001.04,
NaN,2.479316000e+06,7038001.05,
NaN,2.479305000e+06,7038001.06,
NaN,2.479127000e+06,7038001.07,
NaN,2.479127000e+06,7038001.08,
NaN,2.479085000e+06,7038001.09,
NaN,2.478985000e+06,7038001.10,
23111171907,2.479027000e+06,7038001.11,
NaN,2.478886000e+06,7038002.00,12
NaN,2.478861000e+06,7038002.01,
NaN,2.478831000e+06,7038002.02,
NaN,2.478777000e+06,7038002.03,
NaN,2.478773000e+06,7038002.04,
NaN,2.478677000e+06,7038002.05,
NaN,2.478638000e+06,7038002.06,
NaN,2.478730000e+06,7038002.07,
NaN,2.478619000e+06,7038002.08,
NaN,2.478563000e+06,7038002.09,
NaN,2.478586000e+06,7038002.10,
23111172248,2.478567000e+06,7038002.11,
NaN,2.478443000e+06,7038003.00,12
NaN,2.478412000e+06,7038003.01,
NaN,2.478454000e+06,7038003.02,
NaN,2.478339000e+06,7038003.03,
NaN,2.478388000e+06,7038003.04,
NaN,2.478334000e+06,7038003.05,
NaN,2.478246000e+06,7038003.06,
NaN,2.478302000e+06,7038003.07,
NaN,2.478295000e+06,7038003.08,
NaN,2.478233000e+06,7038003.09,
NaN,2.478265000e+06,7038003.10,
23111176328,2.478217000e+06,7038003.11,
NaN,2.478264000e+06,7038004.00,12
NaN,2.478218000e+06,7038004.01,
NaN,2.478170000e+06,7038004.02,
NaN,2.478228000e+06,7038004.03,
NaN,2.478113000e+06,7038004.04,
NaN,2.478234000e+06,7038004.05,
NaN,2.478189000e+06,7038004.06,
NaN,2.478205000e+06,7038004.07,
NaN,2.478130000e+06,7038004.08,
NaN,2.478203000e+06,7038004.09,
NaN,2.478220000e+06,7038004.10,
23111180409,2.478198000e+06,7038004.11,
NaN,2.478274000e+06,7038005.00,12
NaN,2.478180000e+06,7038005.01,
NaN,2.478283000e+06,7038005.02,
NaN,2.478183000e+06,7038005.03,
NaN,2.478283000e+06,7038005.04,
NaN,2.478406000e+06,7038005.05,
NaN,2.478253000e+06,7038005.06,
NaN,2.478308000e+06,7038005.07,
NaN,2.478382000e+06,7038005.08,
NaN,2.478295000e+06,7038005.09,
NaN,2.478332000e+06,7038005.10,
23111184490,2.478345000e+06,7038005.11,
NaN,2.478275000e+06,7038006.00,12
NaN,2.478317000e+06,7038006.01,
NaN,2.478395000e+06,7038006.02,
NaN,2.478330000e+06,7038006.03,
NaN,2.478377000e+06,7038006.04,
NaN,2.478412000e+06,7038006.05,
NaN,2.478412000e+06,7038006.06,
NaN,2.478392000e+06,7038006.07,
NaN,2.478365000e+06,7038006.08,
NaN,2.478442000e+06,7038006.09,
NaN,2.478438000e+06,7038006.10,
23111188570,2.478434000e+06,7038006.11,
NaN,2.478529000e+06,7038007.00,12
NaN,2.478510000e+06,7038007.01,
NaN,2.478495000e+06,7038007.02,
