time,status_info.fs_state,status_info.fs_free_blocks,status_info.rec_state,status_info.rec_id,status_info.rec_nbr_bytes,status_info.play_state,status_info.play_id,status_info.play_nbr_bytes_left,sequence_counter,packet_size
23111116944,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,5.372068970e+08,0.000000000e+00,0.000000000e+00,0.000000000e+00,4.00,1
23111182482,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,5.00,1
23111248018,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,6.00,1
23111313553,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,7.00,1
23111379153,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,8.00,1
23111444740,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,9.00,1
23111510353,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,10.00,1
23111575889,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,11.00,1
23111641424,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,12.00,1
23111707025,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,13.00,1
23111772561,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,14.00,1
23111838098,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,15.00,1
23111903632,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,16.00,1
23111969170,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,17.00,1
23112034770,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,18.00,1
23112100309,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,19.00,1
23112165840,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,20.00,1
23112231378,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,21.00,1
23112296914,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,22.00,1
23112362449,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,23.00,1
23112427985,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,24.00,1
23112493642,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,25.00,1
23112559186,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,26.00,1
23112624721,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,27.00,1
23112690258,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,28.00,1
23112755793,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,29.00,1
23112821330,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,30.00,1
23112886929,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,31.00,1
23112952465,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,32.00,1
23113018001,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,33.00,1
23113083672,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,34.00,1
23113149201,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,35.00,1
23113214737,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,36.00,1
23113280274,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,37.00,1
23113345807,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,38.00,1
23113411346,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,39.00,1
23113476881,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,40.00,1
23113542500,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,41.00,1
23113608127,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,42.00,1
23113673616,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,43.00,1
23113739154,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,44.00,1
23113804753,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,45.00,1
23113870289,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,46.00,1
23113935825,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,47.00,1
23114001362,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,48.00,1
23114066896,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,49.00,1
23114132434,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,50.00,1
23114197968,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,51.00,1
23114263506,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,52.00,1
23114329040,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,53.00,1
23114394770,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,54.00,1
23114460305,2.000000000e+00,2.044000000e+03,0.000000000e+00,0.000000000e+00,2.948900000e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,55.00,1
