time,ecg2,sequence_counter,packet_size
NaN,0.000000000e+00,7038000.00,31
NaN,-1.000000000e+00,7038000.01,
NaN,-1.000000000e+00,7038000.02,
NaN,-2.100000000e+01,7038000.03,
NaN,-1.300000000e+02,7038000.04,
NaN,2.500000000e+01,7038000.05,
NaN,-3.200000000e+01,7038000.06,
NaN,-3.380000000e+02,7038000.07,
NaN,5.330000000e+02,7038000.08,
NaN,-7.510000000e+02,7038000.09,
NaN,2.310000000e+02,7038000.10,
NaN,9.170000000e+02,7038000.11,
NaN,-3.665000000e+03,7038000.12,
NaN,1.566400000e+04,7038000.13,
NaN,4.312000000e+04,7038000.14,
NaN,4.241400000e+04,7038000.15,
NaN,3.882000000e+04,7038000.16,
NaN,4.022000000e+04,7038000.17,
NaN,3.778200000e+04,7038000.18,
NaN,3.728000000e+04,7038000.19,
NaN,3.646800000e+04,7038000.20,
NaN,3.522600000e+04,7038000.21,
NaN,3.450300000e+04,7038000.22,
NaN,3.356100000e+04,7038000.23,
NaN,3.266900000e+04,7038000.24,
NaN,3.178300000e+04,7038000.25,
NaN,3.098700000e+04,7038000.26,
NaN,3.018900000e+04,7038000.27,
NaN,2.944200000e+04,7038000.28,
NaN,2.870400000e+04,7038000.29,
23111171618,2.792100000e+04,7038000.30,
NaN,2.723700000e+04,7038001.00,31
NaN,2.653600000e+04,7038001.01,
NaN,2.586100000e+04,7038001.02,
NaN,2.522600000e+04,7038001.03,
NaN,2.455200000e+04,7038001.04,
NaN,2.397100000e+04,7038001.05,
NaN,2.335700000e+04,7038001.06,
NaN,2.272900000e+04,7038001.07,
NaN,2.218700000e+04,7038001.08,
NaN,2.160300000e+04,7038001.09,
NaN,2.106900000e+04,7038001.10,
NaN,2.055600000e+04,7038001.11,
NaN,1.999800000e+04,7038001.12,
NaN,1.948200000e+04,7038001.13,
NaN,1.899400000e+04,7038001.14,
NaN,1.856500000e+04,7038001.15,
NaN,1.808000000e+04,7038001.16,
NaN,1.760100000e+04,7038001.17,
NaN,1.720800000e+04,7038001.18,
NaN,1.673000000e+04,7038001.19,
NaN,1.631000000e+04,7038001.20,
NaN,1.594600000e+04,7038001.21,
NaN,1.551800000e+04,7038001.22,
NaN,1.514300000e+04,7038001.23,
NaN,1.475900000e+04,7038001.24,
NaN,1.440100000e+04,7038001.25,
NaN,1.407700000e+04,7038001.26,
NaN,1.368700000e+04,7038001.27,
NaN,1.336100000e+04,7038001.28,
NaN,1.305000000e+04,7038001.29,
23111179554,1.269800000e+04,7038001.30,
NaN,1.239300000e+04,7038002.00,31
NaN,1.211100000e+04,7038002.01,
NaN,1.182000000e+04,7038002.02,
NaN,1.150100000e+04,7038002.03,
NaN,1.127900000e+04,7038002.04,
NaN,1.109500000e+04,7038002.05,
NaN,1.080300000e+04,7038002.06,
