time,accel.x,sequence_counter,packet_size
NaN,1.048400000e+04,7038013.01,
NaN,1.050000000e+04,7038013.02,
NaN,1.046800000e+04,7038013.03,
NaN,1.042900000e+04,7038013.04,
NaN,1.051500000e+04,7038013.05,
NaN,1.060300000e+04,7038013.06,
NaN,1.056500000e+04,7038013.07,
NaN,1.047000000e+04,7038013.08,
NaN,1.046900000e+04,7038013.09,
NaN,1.049300000e+04,7038013.10,
23111226885,1.048300000e+04,7038013.11,
NaN,1.052000000e+04,7038014.00,12
NaN,1.053100000e+04,7038014.01,
NaN,1.052200000e+04,7038014.02,
NaN,1.053800000e+04,7038014.03,
NaN,1.054500000e+04,7038014.04,
NaN,1.058100000e+04,7038014.05,
NaN,1.056600000e+04,7038014.06,
NaN,1.055900000e+04,7038014.07,
NaN,1.053800000e+04,7038014.08,
NaN,1.050000000e+04,7038014.09,
NaN,1.055100000e+04,7038014.10,
23111230844,1.054100000e+04,7038014.11,
NaN,1.042800000e+04,7038015.00,12
NaN,1.034600000e+04,7038015.01,
NaN,1.039700000e+04,7038015.02,
NaN,1.055000000e+04,7038015.03,
NaN,1.063800000e+04,7038015.04,
NaN,1.064900000e+04,7038015.05,
NaN,1.065900000e+04,7038015.06,
NaN,1.060400000e+04,7038015.07,
NaN,1.053500000e+04,7038015.08,
NaN,1.049300000e+04,7038015.09,
NaN,1.046400000e+04,7038015.10,
23111234803,1.050900000e+04,7038015.11,
NaN,1.052300000e+04,7038016.00,12
NaN,1.048700000e+04,7038016.01,
NaN,1.049900000e+04,7038016.02,
NaN,1.051900000e+04,7038016.03,
NaN,1.052200000e+04,7038016.04,
NaN,1.053200000e+04,7038016.05,
NaN,1.051800000e+04,7038016.06,
NaN,1.051600000e+04,7038016.07,
NaN,1.048000000e+04,7038016.08,
NaN,1.049700000e+04,7038016.09,
NaN,1.050300000e+04,7038016.10,
23111238762,1.054400000e+04,7038016.11,
NaN,1.053900000e+04,7038017.00,12
NaN,1.054400000e+04,7038017.01,
NaN,1.051000000e+04,7038017.02,
NaN,1.048600000e+04,7038017.03,
NaN,1.053400000e+04,7038017.04,
NaN,1.056900000e+04,7038017.05,
NaN,1.053900000e+04,7038017.06,
NaN,1.051700000e+04,7038017.07,
NaN,1.053500000e+04,7038017.08,
NaN,1.047700000e+04,7038017.09,
NaN,1.039500000e+04,7038017.10,
23111242721,1.034300000e+04,7038017.11,
NaN,1.039700000e+04,7038018.00,12
NaN,1.049500000e+04,7038018.01,
NaN,1.053700000e+04,7038018.02,
NaN,1.058200000e+04,7038018.03,
NaN,1.062100000e+04,7038018.04,
NaN,1.052300000e+04,7038018.05,
NaN,1.043000000e+04,7038018.06,
NaN,1.046500000e+04,7038018.07,
NaN,1.048300000e+04,7038018.08,
NaN,1.047100000e+04,7038018.09,
NaN,1.045500000e+04,7038018.10,
23111246679,1.048500000e+04,7038018.11,
NaN,1.052900000e+04,7038019.00,12
NaN,1.059000000e+04,7038019.01,
NaN,1.062000000e+04,7038019.02,
NaN,1.053400000e+04,7038019.03,
NaN,1.045100000e+04,7038019.04,
NaN,1.041800000e+04,7038019.05,
NaN,1.041300000e+04,7038019.06,
NaN,1.044000000e+04,7038019.07,
NaN,1.045600000e+04,7038019.08,
NaN,1.048500000e+04,7038019.09,
NaN,1.052200000e+04,7038019.10,
23111250638,1.048800000e+04,7038019.11,
NaN,1.041900000e+04,7038020.00,12
NaN,1.040000000e+04,7038020.01,
NaN,1.038300000e+04,7038020.02,
NaN,1.037900000e+04,7038020.03,
NaN,1.037800000e+04,7038020.04,
NaN,1.041900000e+04,7038020.05,
NaN,1.048600000e+04,7038020.06,
NaN,1.047800000e+04,7038020.07,
NaN,1.044600000e+04,7038020.08,
NaN,1.043300000e+04,7038020.09,
NaN,1.039600000e+04,7038020.10,
23111254596,1.039500000e+04,7038020.11,
NaN,1.040600000e+04,7038021.00,12
NaN,1.048100000e+04,7038021.01,
NaN,1.049300000e+04,7038021.02,
NaN,1.051800000e+04,7038021.03,
NaN,1.051500000e+04,7038021.04,
NaN,1.050800000e+04,7038021.05,
NaN,1.049500000e+04,7038021.06,
NaN,1.044800000e+04,7038021.07,
NaN,1.045800000e+04,7038021.08,
NaN,1.047400000e+04,7038021.09,
NaN,1.050500000e+04,7038021.10,
23111258556,1.046700000e+04,7038021.11,
NaN,1.047000000e+04,7038022.00,12
NaN,1.043400000e+04,7038022.01,
NaN,1.039200000e+04,7038022.02,
NaN,1.042300000e+04,7038022.03,
NaN,1.046000000e+04,7038022.04,
NaN,1.048500000e+04,7038022.05,
NaN,1.047700000e+04,7038022.06,
NaN,1.046900000e+04,7038022.07,
NaN,1.046700000e+04,7038022.08,
NaN,1.046600000e+04,7038022.09,
NaN,1.049700000e+04,7038022.10,
23111262515,1.051700000e+04,7038022.11,
NaN,1.053300000e+04,7038023.00,12
NaN,1.045100000e+04,7038023.01,
NaN,1.040900000e+04,7038023.02,
NaN,1.039500000e+04,7038023.03,
NaN,1.041500000e+04,7038023.04,
NaN,1.042000000e+04,7038023.05,
NaN,1.044400000e+04,7038023.06,
NaN,1.047500000e+04,7038023.07,
NaN,1.047200000e+04,7038023.08,
NaN,1.045600000e+04,7038023.09,
NaN,1.041700000e+04,7038023.10,
23111266474,1.038500000e+04,7038023.11,
NaN,1.041500000e+04,7038024.00,12
NaN,1.041300000e+04,7038024.01,
NaN,1.046800000e+04,7038024.02,
NaN,1.048800000e+04,7038024.03,
NaN,1.049700000e+04,7038024.04,
NaN,1.049900000e+04,7038024.05,
NaN,1.046900000e+04,7038024.06,
NaN,1.051900000e+04,7038024.07,
NaN,1.049800000e+04,7038024.08,
NaN,1.049300000e+04,7038024.09,
NaN,1.048100000e+04,7038024.10,
23111270433,1.047000000e+04,7038024.11,
NaN,1.051600000e+04,7038025.00,12
NaN,1.050100000e+04,7038025.01,
NaN,1.030700000e+04,7038025.02,
NaN,1.036000000e+04,7038025.03,
NaN,1.049600000e+04,7038025.04,
NaN,1.048700000e+04,7038025.05,
NaN,1.049400000e+04,7038025.06,
NaN,1.050300000e+04,7038025.07,
NaN,1.055900000e+04,7038025.08,
NaN,1.057400000e+04,7038025.09,
NaN,1.059600000e+04,7038025.10,
23111274390,1.053600000e+04,7038025.11,
NaN,1.052600000e+04,7038026.00,12
NaN,1.054400000e+04,7038026.01,
NaN,1.054400000e+04,7038026.02,
NaN,1.055600000e+04,7038026.03,
NaN,1.051000000e+04,7038026.04,
NaN,1.050800000e+04,7038026.05,
NaN,1.050100000e+04,7038026.06,
NaN,1.047700000e+04,7038026.07,
NaN,1.046900000e+04,7038026.08,
NaN,1.046600000e+04,7038026.09,
NaN,1.042900000e+04,7038026.10,
23111278349,1.051000000e+04,7038026.11,
NaN,1.060300000e+04,7038027.00,12
NaN,1.064000000e+04,7038027.01,
NaN,1.065600000e+04,7038027.02,
NaN,1.060300000e+04,7038027.03,
NaN,1.057700000e+04,7038027.04,
NaN,1.064800000e+04,7038027.05,
NaN,1.065900000e+04,7038027.06,
NaN,1.064100000e+04,7038027.07,
NaN,1.061500000e+04,7038027.08,
NaN,1.058600000e+04,7038027.09,
NaN,1.049700000e+04,7038027.10,
23111282308,1.049800000e+04,7038027.11,
NaN,1.058100000e+04,7038028.00,12
NaN,1.059700000e+04,7038028.01,
NaN,1.054800000e+04,7038028.02,
NaN,1.058200000e+04,7038028.03,
NaN,1.058500000e+04,7038028.04,
NaN,1.056000000e+04,7038028.05,
NaN,1.056100000e+04,7038028.06,
NaN,1.059900000e+04,7038028.07,
NaN,1.057900000e+04,7038028.08,
NaN,1.058900000e+04,7038028.09,
NaN,1.057100000e+04,7038028.10,
23111286266,1.057400000e+04,7038028.11,
NaN,1.059100000e+04,7038029.00,12
NaN,1.061100000e+04,7038029.01,
NaN,1.059100000e+04,7038029.02,
NaN,1.059200000e+04,7038029.03,
NaN,1.060200000e+04,7038029.04,
NaN,1.060000000e+04,7038029.05,
NaN,1.057800000e+04,7038029.06,
NaN,1.058300000e+04,7038029.07,
NaN,1.056100000e+04,7038029.08,
NaN,1.059500000e+04,7038029.09,
NaN,1.062000000e+04,7038029.10,
23111290225,1.058700000e+04,7038029.11,
NaN,1.063700000e+04,7038030.00,12
NaN,1.064800000e+04,7038030.01,
NaN,1.064100000e+04,7038030.02,
NaN,1.066700000e+04,7038030.03,
NaN,1.065900000e+04,7038030.04,
NaN,1.068000000e+04,7038030.05,
NaN,1.066600000e+04,7038030.06,
NaN,1.066100000e+04,7038030.07,
NaN,1.060100000e+04,7038030.08,
NaN,1.056600000e+04,7038030.09,
NaN,1.054300000e+04,7038030.10,
23111294184,1.056400000e+04,7038030.11,
NaN,1.056000000e+04,7038031.00,12
NaN,1.058000000e+04,7038031.01,
NaN,1.060000000e+04,7038031.02,
NaN,1.064400000e+04,7038031.03,
NaN,1.060500000e+04,7038031.04,
NaN,1.060000000e+04,7038031.05,
NaN,1.060600000e+04,7038031.06,
NaN,1.058700000e+04,7038031.07,
NaN,1.063000000e+04,7038031.08,
NaN,1.062100000e+04,7038031.09,
NaN,1.064800000e+04,7038031.10,
23111298142,1.065700000e+04,7038031.11,
NaN,1.064100000e+04,7038032.00,12
NaN,1.063800000e+04,7038032.01,
NaN,1.060200000e+04,7038032.02,
NaN,1.064300000e+04,7038032.03,
NaN,1.067100000e+04,7038032.04,
NaN,1.063100000e+04,7038032.05,
NaN,1.060700000e+04,7038032.06,
NaN,1.062400000e+04,7038032.07,
NaN,1.063000000e+04,7038032.08,
NaN,1.068000000e+04,7038032.09,
NaN,1.068300000e+04,7038032.10,
23111302101,1.069000000e+04,7038032.11,
NaN,1.068000000e+04,7038033.00,12
NaN,1.064800000e+04,7038033.01,
NaN,1.063800000e+04,7038033.02,
NaN,1.066600000e+04,7038033.03,
NaN,1.065800000e+04,7038033.04,
NaN,1.065500000e+04,7038033.05,
NaN,1.062900000e+04,7038033.06,
NaN,1.066900000e+04,7038033.07,
NaN,1.067900000e+04,7038033.08,
NaN,1.070500000e+04,7038033.09,
NaN,1.068300000e+04,7038033.10,
23111306060,1.064600000e+04,7038033.11,
NaN,1.057400000e+04,7038034.00,12
NaN,1.057800000e+04,7038034.01,
NaN,1.060900000e+04,7038034.02,
NaN,1.061700000e+04,7038034.03,
NaN,1.064000000e+04,7038034.04,
NaN,1.064300000e+04,7038034.05,
NaN,1.066500000e+04,7038034.06,
NaN,1.068600000e+04,7038034.07,
NaN,1.061800000e+04,7038034.08,
NaN,1.063100000e+04,7038034.09,
NaN,1.072200000e+04,7038034.10,
23111310018,1.070500000e+04,7038034.11,
NaN,1.062200000e+04,7038035.00,12
NaN,1.059900000e+04,7038035.01,
NaN,1.066300000e+04,7038035.02,
NaN,1.072400000e+04,7038035.03,
NaN,1.071500000e+04,7038035.04,
NaN,1.071200000e+04,7038035.05,
NaN,1.067800000e+04,7038035.06,
NaN,1.068000000e+04,7038035.07,
NaN,1.066900000e+04,7038035.08,
NaN,1.068200000e+04,7038035.09,
NaN,1.069500000e+04,7038035.10,
23111313977,1.071800000e+04,7038035.11,
NaN,1.073200000e+04,7038036.00,12
NaN,1.071800000e+04,7038036.01,
NaN,1.070000000e+04,7038036.02,
NaN,1.068800000e+04,7038036.03,
NaN,1.067700000e+04,7038036.04,
NaN,1.068400000e+04,7038036.05,
NaN,1.064200000e+04,7038036.06,
NaN,1.058200000e+04,7038036.07,
NaN,1.057400000e+04,7038036.08,
NaN,1.063600000e+04,7038036.09,
NaN,1.067900000e+04,7038036.10,
23111317936,1.068600000e+04,7038036.11,
NaN,1.068100000e+04,7038037.00,12
NaN,1.071800000e+04,7038037.01,
NaN,1.073400000e+04,7038037.02,
NaN,1.072600000e+04,7038037.03,
NaN,1.071600000e+04,7038037.04,
NaN,1.070200000e+04,7038037.05,
